#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1.1; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) (s=1.1) [Magnitude]"
#--------------------------------------------------------
2.5500000000000	-39.851615563262
2.5600000000000	-39.721009587323
2.5700000000000	-39.590644695855
2.5800000000000	-39.460517126713
2.5900000000000	-39.330623145981
2.6000000000000	-39.200959047394
2.6100000000000	-39.071521151800
2.6200000000000	-38.942305806578
2.6300000000000	-38.813309385123
2.6400000000000	-38.684528286306
2.6500000000000	-38.555958933932
2.6600000000000	-38.427597776216
2.6700000000000	-38.299441285239
2.6800000000000	-38.171485956508
2.6900000000000	-38.043728308346
2.7000000000000	-37.916164881459
2.7100000000000	-37.788792238410
2.7200000000000	-37.661606963120
2.7300000000000	-37.534605660395
2.7400000000000	-37.407784955428
2.7500000000000	-37.281141493312
2.7600000000000	-37.154671938592
2.7700000000000	-37.028372974764
2.7800000000000	-36.902241303825
2.7900000000000	-36.776273645810
2.8000000000000	-36.650466738311
2.8100000000000	-36.524817336069
2.8200000000000	-36.399322210473
2.8300000000000	-36.273978149157
2.8400000000000	-36.148781955522
2.8500000000000	-36.023730448316
2.8600000000000	-35.898820461198
2.8700000000000	-35.774048842304
2.8800000000000	-35.649412453812
2.8900000000000	-35.524908171529
2.9000000000000	-35.400532884450
2.9100000000000	-35.276283494364
2.9200000000000	-35.152156915413
2.9300000000000	-35.028150073698
2.9400000000000	-34.904259906851
2.9500000000000	-34.780483363644
2.9600000000000	-34.656817403568
2.9700000000000	-34.533258996442
2.9800000000000	-34.409805122001
2.9900000000000	-34.286452769514
3.0000000000000	-34.163198937366
3.0100000000000	-34.040040632678
3.0200000000000	-33.916974870914
3.0300000000000	-33.793998675481
3.0400000000000	-33.671109077357
3.0500000000000	-33.548303114682
3.0600000000000	-33.425577832391
3.0700000000000	-33.302930281821
3.0800000000000	-33.180357520331
3.0900000000000	-33.057856610916
3.1000000000000	-32.935424621839
3.1100000000000	-32.813058626235
3.1200000000000	-32.690755701744
3.1300000000000	-32.568512930136
3.1400000000000	-32.446327396926
3.1500000000000	-32.324196191003
3.1600000000000	-32.202116404262
3.1700000000000	-32.080085131214
3.1800000000000	-31.958099468630
3.1900000000000	-31.836156515156
3.2000000000000	-31.714253370947
3.2100000000000	-31.592387137290
3.2200000000000	-31.470554916235
3.2300000000000	-31.348753810221
3.2400000000000	-31.226980921709
3.2500000000000	-31.105233352802
3.2600000000000	-30.983508204879
3.2700000000000	-30.861802578220
3.2800000000000	-30.740113571640
3.2900000000000	-30.618438282103
3.3000000000000	-30.496773804364
3.3100000000000	-30.375117230585
3.3200000000000	-30.253465649968
3.3300000000000	-30.131816148375
3.3400000000000	-30.010165807956
3.3500000000000	-29.888511706773
3.3600000000000	-29.766850918424
3.3700000000000	-29.645180511664
3.3800000000000	-29.523497550027
3.3900000000000	-29.401799091450
3.4000000000000	-29.280082187890
3.4100000000000	-29.158343884945
3.4200000000000	-29.036581221470
3.4300000000000	-28.914791229197
3.4400000000000	-28.792970932349
3.4500000000000	-28.671117347255
3.4600000000000	-28.549227481966
3.4700000000000	-28.427298335862
3.4800000000000	-28.305326899270
3.4900000000000	-28.183310153072
3.5000000000000	-28.061245068311
3.5100000000000	-27.939128605803
3.5200000000000	-27.816957715741
3.5300000000000	-27.694729337300
3.5400000000000	-27.572440398246
3.5500000000000	-27.450087814531
3.5600000000000	-27.327668489903
3.5700000000000	-27.205179315500
3.5800000000000	-27.082617169455
3.5900000000000	-26.959978916493
3.6000000000000	-26.837261407526
3.6100000000000	-26.714461479254
3.6200000000000	-26.591575953759
3.6300000000000	-26.468601638102
3.6400000000000	-26.345535323915
3.6500000000000	-26.222373786999
3.6600000000000	-26.099113786915
3.6700000000000	-25.975752066580
3.6800000000000	-25.852285351858
3.6900000000000	-25.728710351158
3.7000000000000	-25.605023755024
3.7100000000000	-25.481222235733
3.7200000000000	-25.357302446890
3.7300000000000	-25.233261023022
3.7400000000000	-25.109094579180
3.7500000000000	-24.984799710535
3.7600000000000	-24.860372991981
3.7700000000000	-24.735810977740
3.7800000000000	-24.611110200965
3.7900000000000	-24.486267173351
3.8000000000000	-24.361278384750
3.8100000000000	-24.236140302786
3.8200000000000	-24.110849372475
3.8300000000000	-23.985402015853
3.8400000000000	-23.859794631610
3.8500000000000	-23.734023594723
3.8600000000000	-23.608085256107
3.8700000000000	-23.481975942264
3.8800000000000	-23.355691954948
3.8900000000000	-23.229229570830
3.9000000000000	-23.102585041187
3.9100000000000	-22.975754591585
3.9200000000000	-22.848734421592
3.9300000000000	-22.721520704491
3.9400000000000	-22.594109587012
3.9500000000000	-22.466497189083
3.9600000000000	-22.338679603591
3.9700000000000	-22.210652896172
3.9800000000000	-22.082413105009
3.9900000000000	-21.953956240661
4.0000000000000	-21.825278285913
4.0100000000000	-21.696375195649
4.0200000000000	-21.567242896754
4.0300000000000	-21.437877288053
4.0400000000000	-21.308274240265
4.0500000000000	-21.178429596010
4.0600000000000	-21.048339169841
4.0700000000000	-20.917998748321
4.0800000000000	-20.787404090142
4.0900000000000	-20.656550926291
