#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=1.3; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) [Phase in Degrees]"
#-------------------------------------------------------
3.0600000000000	167.96476012474
3.0700000000000	167.60065092497
3.0800000000000	167.23607131735
3.0900000000000	166.87101654620
3.1000000000000	166.50548179194
3.1100000000000	166.13946217008
3.1200000000000	165.77295273009
3.1300000000000	165.40594845426
3.1400000000000	165.03844425654
3.1500000000000	164.67043498137
3.1600000000000	164.30191540247
3.1700000000000	163.93288022154
3.1800000000000	163.56332406706
3.1900000000000	163.19324149292
3.2000000000000	162.82262697712
3.2100000000000	162.45147492039
3.2200000000000	162.07977964478
3.2300000000000	161.70753539222
3.2400000000000	161.33473632310
3.2500000000000	160.96137651467
3.2600000000000	160.58744995961
3.2700000000000	160.21295056435
3.2800000000000	159.83787214755
3.2900000000000	159.46220843836
3.3000000000000	159.08595307480
3.3100000000000	158.70909960198
3.3200000000000	158.33164147035
3.3300000000000	157.95357203389
3.3400000000000	157.57488454821
3.3500000000000	157.19557216870
3.3600000000000	156.81562794857
3.3700000000000	156.43504483680
3.3800000000000	156.05381567617
3.3900000000000	155.67193320114
3.4000000000000	155.28939003569
3.4100000000000	154.90617869115
3.4200000000000	154.52229156395
3.4300000000000	154.13772093328
3.4400000000000	153.75245895880
3.4500000000000	153.36649767818
3.4600000000000	152.97982900463
3.4700000000000	152.59244472436
3.4800000000000	152.20433649403
3.4900000000000	151.81549583802
3.5000000000000	151.42591414575
3.5100000000000	151.03558266889
3.5200000000000	150.64449251846
3.5300000000000	150.25263466194
3.5400000000000	149.85999992022
3.5500000000000	149.46657896458
3.5600000000000	149.07236231344
3.5700000000000	148.67734032921
3.5800000000000	148.28150321493
3.5900000000000	147.88484101085
3.6000000000000	147.48734359096
3.6100000000000	147.08900065942
3.6200000000000	146.68980174686
3.6300000000000	146.28973620664
3.6400000000000	145.88879321097
3.6500000000000	145.48696174696
3.6600000000000	145.08423061254
3.6700000000000	144.68058841232
3.6800000000000	144.27602355326
3.6900000000000	143.87052424034
3.7000000000000	143.46407847201
3.7100000000000	143.05667403557
3.7200000000000	142.64829850246
3.7300000000000	142.23893922335
3.7400000000000	141.82858332314
3.7500000000000	141.41721769585
3.7600000000000	141.00482899933
3.7700000000000	140.59140364985
3.7800000000000	140.17692781655
3.7900000000000	139.76138741572
3.8000000000000	139.34476810494
3.8100000000000	138.92705527707
3.8200000000000	138.50823405404
3.8300000000000	138.08828928051
3.8400000000000	137.66720551736
3.8500000000000	137.24496703493
3.8600000000000	136.82155780618
3.8700000000000	136.39696149957
3.8800000000000	135.97116147180
3.8900000000000	135.54414076032
3.9000000000000	135.11588207563
3.9100000000000	134.68636779339
3.9200000000000	134.25557994627
3.9300000000000	133.82350021560
3.9400000000000	133.39010992281
3.9500000000000	132.95539002054
3.9600000000000	132.51932108357
3.9700000000000	132.08188329950
3.9800000000000	131.64305645911
3.9900000000000	131.20281994649
4.0000000000000	130.76115272886
4.0100000000000	130.31803334609
4.0200000000000	129.87343989999
4.0300000000000	129.42735004319
4.0400000000000	128.97974096775
4.0500000000000	128.53058939344
4.0600000000000	128.07987155570
4.0700000000000	127.62756319318
4.0800000000000	127.17363953499
4.0900000000000	126.71807528754
4.1000000000000	126.26084462098
4.1100000000000	125.80192115532
4.1200000000000	125.34127794604
4.1300000000000	124.87888746932
4.1400000000000	124.41472160688
4.1500000000000	123.94875163027
4.1600000000000	123.48094818485
4.1700000000000	123.01128127308
4.1800000000000	122.53972023755
4.1900000000000	122.06623374335
4.2000000000000	121.59078975993
4.2100000000000	121.11335554254
4.2200000000000	120.63389761295
4.2300000000000	120.15238173975
4.2400000000000	119.66877291793
4.2500000000000	119.18303534802
4.2600000000000	118.69513241441
4.2700000000000	118.20502666321
4.2800000000000	117.71267977934
4.2900000000000	117.21805256301
4.3000000000000	116.72110490545
4.3100000000000	116.22179576395
