#Parameters = {d=1; g=0.5; h=2.4; l=6; m=3; p=0.5; phi=0; s=0.9; t=0.035; theta=0; w=7}
#"Frequency / GHz"	"SZmax(2),Zmax(1) (s=0.9) [Magnitude]"
#--------------------------------------------------------
2.5600000000000	-39.222215004476
2.5700000000000	-39.090263599987
2.5800000000000	-38.958536631765
2.5900000000000	-38.827030227118
2.6000000000000	-38.695740540665
2.6100000000000	-38.564663753706
2.6200000000000	-38.433796073595
2.6300000000000	-38.303133733122
2.6400000000000	-38.172672989890
2.6500000000000	-38.042410125720
2.6600000000000	-37.912341446045
2.6700000000000	-37.782463279319
2.6800000000000	-37.652771976433
2.6900000000000	-37.523263910134
2.7000000000000	-37.393935474450
2.7100000000000	-37.264783084128
2.7200000000000	-37.135803174066
2.7300000000000	-37.006992198765
2.7400000000000	-36.878346631771
2.7500000000000	-36.749862965133
2.7600000000000	-36.621537708869
2.7700000000000	-36.493367390420
2.7800000000000	-36.365348554132
2.7900000000000	-36.237477760721
2.8000000000000	-36.109751586760
2.8100000000000	-35.982166624158
2.8200000000000	-35.854719479649
2.8300000000000	-35.727406774284
2.8400000000000	-35.600225142929
2.8500000000000	-35.473171233760
2.8600000000000	-35.346241707769
2.8700000000000	-35.219433238273
2.8800000000000	-35.092742510416
2.8900000000000	-34.966166220690
2.9000000000000	-34.839701076447
2.9100000000000	-34.713343795417
2.9200000000000	-34.587091105233
2.9300000000000	-34.460939742949
2.9400000000000	-34.334886454572
2.9500000000000	-34.208927994588
2.9600000000000	-34.083061125491
2.9700000000000	-33.957282617321
2.9800000000000	-33.831589247190
2.9900000000000	-33.705977798826
3.0000000000000	-33.580445062107
3.0100000000000	-33.454987832600
3.0200000000000	-33.329602911102
3.0300000000000	-33.204287103181
3.0400000000000	-33.079037218720
3.0500000000000	-32.953850071458
3.0600000000000	-32.828722478537
3.0700000000000	-32.703651260042
3.0800000000000	-32.578633238553
3.0900000000000	-32.453665238685
3.1000000000000	-32.328744086638
3.1100000000000	-32.203866609737
3.1200000000000	-32.079029635986
3.1300000000000	-31.954229993607
3.1400000000000	-31.829464510590
3.1500000000000	-31.704730014234
3.1600000000000	-31.580023330697
3.1700000000000	-31.455341284534
3.1800000000000	-31.330680698246
3.1900000000000	-31.206038391817
3.2000000000000	-31.081411182261
3.2100000000000	-30.956795883155
3.2200000000000	-30.832189304188
3.2300000000000	-30.707588250687
3.2400000000000	-30.582989523165
3.2500000000000	-30.458389916846
3.2600000000000	-30.333786221203
3.2700000000000	-30.209175219488
3.2800000000000	-30.084553688263
3.2900000000000	-29.959918396924
3.3000000000000	-29.835266107228
3.3100000000000	-29.710593572817
3.3200000000000	-29.585897538736
3.3300000000000	-29.461174740955
3.3400000000000	-29.336421905878
3.3500000000000	-29.211635749866
3.3600000000000	-29.086812978737
3.3700000000000	-28.961950287282
3.3800000000000	-28.837044358765
3.3900000000000	-28.712091864424
3.4000000000000	-28.587089462974
3.4100000000000	-28.462033800099
3.4200000000000	-28.336921507946
3.4300000000000	-28.211749204614
3.4400000000000	-28.086513493638
3.4500000000000	-27.961210963474
3.4600000000000	-27.835838186978
3.4700000000000	-27.710391720879
3.4800000000000	-27.584868105252
3.4900000000000	-27.459263862989
3.5000000000000	-27.333575499261
3.5100000000000	-27.207799500981
3.5200000000000	-27.081932336261
3.5300000000000	-26.955970453864
3.5400000000000	-26.829910282662
3.5500000000000	-26.703748231072
3.5600000000000	-26.577480686511
3.5700000000000	-26.451104014828
3.5800000000000	-26.324614559744
3.5900000000000	-26.198008642283
3.6000000000000	-26.071282560207
3.6100000000000	-25.944432587439
3.6200000000000	-25.817454973485
3.6300000000000	-25.690345942863
3.6400000000000	-25.563101694512
3.6500000000000	-25.435718401216
3.6600000000000	-25.308192209012
3.6700000000000	-25.180519236605
3.6800000000000	-25.052695574776
3.6900000000000	-24.924717285791
3.7000000000000	-24.796580402810
3.7100000000000	-24.668280929289
3.7200000000000	-24.539814838392
3.7300000000000	-24.411178072392
3.7400000000000	-24.282366542082
3.7500000000000	-24.153376126177
3.7600000000000	-24.024202670729
3.7700000000000	-23.894841988538
3.7800000000000	-23.765289858561
3.7900000000000	-23.635542025339
3.8000000000000	-23.505594198411
3.8100000000000	-23.375442051749
3.8200000000000	-23.245081223190
3.8300000000000	-23.114507313875
3.8400000000000	-22.983715887705
3.8500000000000	-22.852702470797
3.8600000000000	-22.721462550957
3.8700000000000	-22.589991577160
3.8800000000000	-22.458284959052
3.8900000000000	-22.326338066460
3.9000000000000	-22.194146228925
3.9100000000000	-22.061704735245
3.9200000000000	-21.929008833054
3.9300000000000	-21.796053728410
3.9400000000000	-21.662834585418
3.9500000000000	-21.529346525879
3.9600000000000	-21.395584628967
3.9700000000000	-21.261543930945
3.9800000000000	-21.127219424915
3.9900000000000	-20.992606060612
4.0000000000000	-20.857698744239
4.0100000000000	-20.722492338353
4.0200000000000	-20.586981661800
4.0300000000000	-20.451161489715
4.0400000000000	-20.315026553574
4.0500000000000	-20.178571541324
4.0600000000000	-20.041791097575
4.0700000000000	-19.904679823884
4.0800000000000	-19.767232279113
4.0900000000000	-19.629442979888
4.1000000000000	-19.491306401154
4.1100000000000	-19.352816976841
4.1200000000000	-19.213969100647
4.1300000000000	-19.074757126946
4.1400000000000	-18.935175371834
4.1500000000000	-18.795218114323
4.1600000000000	-18.654879597692
4.1700000000000	-18.514154031012
4.1800000000000	-18.373035590853
4.1900000000000	-18.231518423195
4.2000000000000	-18.089596645543
4.2100000000000	-17.947264349288
4.2200000000000	-17.804515602302
4.2300000000000	-17.661344451810
4.2400000000000	-17.517744927544
4.2500000000000	-17.373711045212
4.2600000000000	-17.229236810295
